gt_g,gt_lambda,gt_delta,distance,fitted_g,fitted_lambda,fitted_delta
0.288,0.25,0.068,0.08087026647662289,0.262,0.3,0.126
0.288,0.25,0.097,0.0,0.288,0.25,0.097
0.288,0.25,0.126,0.0539444158370447,0.25,0.275,0.155
0.288,0.25,0.155,0.04999999999999999,0.288,0.2,0.155
0.288,0.25,0.184,0.07611832893594025,0.275,0.175,0.184
0.288,0.25,0.213,0.13832208789632985,0.3,0.125,0.155
0.288,0.25,0.242,0.1913948797643239,0.262,0.1,0.126
0.288,0.25,0.271,0.15449919093639294,0.262,0.125,0.184
0.288,0.25,0.3,0.15276779765382495,0.3,0.125,0.213
0.288,0.275,0.068,0.0683008052661167,0.262,0.3,0.126
0.288,0.275,0.097,0.0462817458616245,0.262,0.3,0.126
0.288,0.275,0.126,0.025999999999999968,0.262,0.275,0.126
0.288,0.275,0.155,0.07611832893594025,0.275,0.2,0.155
0.288,0.275,0.184,0.07500000000000001,0.288,0.2,0.184
0.288,0.275,0.213,0.13841242718773486,0.275,0.15,0.155
0.288,0.275,0.242,0.13832208789632988,0.3,0.15,0.184
0.288,0.275,0.271,0.1933907960581372,0.25,0.125,0.155
0.288,0.275,0.3,0.18962067397834026,0.288,0.125,0.184
0.288,0.3,0.068,0.0635609943282828,0.262,0.3,0.126
0.288,0.3,0.097,0.12897674208941703,0.275,0.175,0.068
0.288,0.3,0.126,0.025999999999999968,0.262,0.3,0.126
0.288,0.3,0.155,0.04780167361086846,0.25,0.3,0.184
0.288,0.3,0.184,0.0628012738724303,0.25,0.25,0.184
0.288,0.3,0.213,0.12887978895078933,0.3,0.175,0.184
0.288,0.3,0.242,0.17751901306620652,0.25,0.15,0.155
0.288,0.3,0.271,0.21336588293351869,0.25,0.125,0.155
0.288,0.3,0.3,0.17751901306620652,0.25,0.15,0.213
0.3,0.1,0.068,0.03828837943815327,0.275,0.1,0.097
0.3,0.1,0.097,0.024999999999999967,0.275,0.1,0.097
0.3,0.1,0.126,0.03828837943815327,0.275,0.1,0.155
0.3,0.1,0.155,0.0631585306985525,0.275,0.1,0.097
0.3,0.1,0.184,0.11866338946785565,0.3,0.125,0.3
0.3,0.1,0.213,1.0,0.3,0.1,0.213
0.3,0.1,0.242,1.0,0.3,0.1,0.242
0.3,0.1,0.271,1.0,0.3,0.1,0.271
0.3,0.1,0.3,1.0,0.3,0.1,0.3
0.3,0.125,0.068,0.03828837943815329,0.3,0.15,0.097
0.3,0.125,0.097,0.024999999999999994,0.3,0.1,0.097
0.3,0.125,0.126,0.024999999999999994,0.3,0.1,0.126
0.3,0.125,0.155,0.11926860441876565,0.288,0.1,0.271
0.3,0.125,0.184,0.12459935794377111,0.262,0.15,0.3
0.3,0.125,0.213,0.09817331613019903,0.262,0.15,0.3
0.3,0.125,0.242,1.0,0.3,0.125,0.242
0.3,0.125,0.271,1.0,0.3,0.125,0.271
0.3,0.125,0.3,1.0,0.3,0.125,0.3
0.3,0.15,0.068,0.05780138406647369,0.25,0.15,0.097
0.3,0.15,0.097,0.024999999999999994,0.3,0.125,0.097
0.3,0.15,0.126,0.07642643521714196,0.25,0.1,0.097
0.3,0.15,0.155,0.05780138406647369,0.3,0.1,0.126
0.3,0.15,0.184,0.05780138406647369,0.3,0.1,0.155
0.3,0.15,0.213,0.09052071586106684,0.275,0.15,0.3
0.3,0.15,0.242,0.07642643521714196,0.25,0.1,0.213
0.3,0.15,0.271,0.0,0.3,0.15,0.271
0.3,0.15,0.3,1.0,0.3,0.15,0.3
0.3,0.175,0.068,0.0539444158370447,0.262,0.2,0.097
0.3,0.175,0.097,0.05590169943749473,0.25,0.15,0.097
0.3,0.175,0.126,0.04999999999999999,0.3,0.125,0.126
0.3,0.175,0.155,0.08041144197189848,0.3,0.1,0.126
0.3,0.175,0.184,0.10214205793893127,0.262,0.1,0.126
0.3,0.175,0.213,0.0948103369891701,0.3,0.1,0.155
0.3,0.175,0.242,0.0980510071340422,0.275,0.1,0.184
0.3,0.175,0.271,0.045727453460694664,0.275,0.15,0.3
0.3,0.175,0.3,0.03535533905932735,0.275,0.15,0.3
0.3,0.2,0.068,0.05903388857258175,0.288,0.25,0.097
0.3,0.2,0.097,0.053944415837044686,0.262,0.225,0.126
0.3,0.2,0.126,0.07071067811865477,0.25,0.15,0.126
0.3,0.2,0.155,0.08130190649671139,0.288,0.125,0.126
0.3,0.2,0.184,0.11560276813294741,0.3,0.1,0.126
0.3,0.2,0.213,0.13788763541376725,0.262,0.1,0.126
0.3,0.2,0.242,0.1325481044753187,0.3,0.1,0.155
0.3,0.2,0.271,0.157797338380595,0.262,0.1,0.155
0.3,0.2,0.3,0.05590169943749474,0.275,0.15,0.3
0.3,0.225,0.068,0.04012480529547776,0.288,0.25,0.097
0.3,0.225,0.097,0.053944415837044686,0.262,0.25,0.126
0.3,0.225,0.126,0.04548626166217661,0.262,0.2,0.126
0.3,0.225,0.155,0.0804114419718985,0.3,0.15,0.126
0.3,0.225,0.184,0.1259523719506703,0.25,0.125,0.126
0.3,0.225,0.213,0.1259523719506703,0.25,0.125,0.155
0.3,0.225,0.242,0.1259523719506703,0.25,0.125,0.184
0.3,0.225,0.271,0.17053152201279387,0.3,0.1,0.155
0.3,0.225,0.3,0.1330901949806972,0.288,0.125,0.213
0.3,0.25,0.068,0.08548684109265002,0.262,0.3,0.126
0.3,0.25,0.097,0.06297618597533515,0.25,0.275,0.126
0.3,0.25,0.126,0.06917369442208503,0.262,0.3,0.155
0.3,0.25,0.155,0.07071067811865474,0.25,0.2,0.155
0.3,0.25,0.184,0.08407734534343957,0.262,0.175,0.184
0.3,0.25,0.213,0.10480935072788115,0.288,0.15,0.184
0.3,0.25,0.242,0.19126160095534073,0.275,0.1,0.126
0.3,0.25,0.271,0.21205895406702355,0.262,0.1,0.126
0.3,0.25,0.3,0.1259523719506703,0.25,0.15,0.242
0.3,0.275,0.068,0.0737088868454815,0.262,0.3,0.126
0.3,0.275,0.097,0.05394441583704468,0.262,0.3,0.126
0.3,0.275,0.126,0.045486261662176605,0.262,0.3,0.126
0.3,0.275,0.155,0.02773084924772412,0.288,0.25,0.155
0.3,0.275,0.184,0.051419840528729784,0.288,0.225,0.184
0.3,0.275,0.213,0.10480935072788118,0.288,0.175,0.184
0.3,0.275,0.242,0.14294404499663496,0.262,0.15,0.184
0.3,0.275,0.271,0.17340415219942112,0.3,0.125,0.184
0.3,0.275,0.3,0.19339079605813717,0.262,0.125,0.184
0.3,0.3,0.068,0.03828837943815327,0.275,0.3,0.097
0.3,0.3,0.097,0.04780167361086846,0.262,0.3,0.126
0.3,0.3,0.126,0.03799999999999998,0.262,0.3,0.126
0.3,0.3,0.155,0.03799999999999998,0.262,0.3,0.155
0.3,0.3,0.184,0.09013878188659971,0.25,0.225,0.184
0.3,0.3,0.213,0.07595393340703296,0.288,0.225,0.213
0.3,0.3,0.242,0.18046883387443938,0.25,0.15,0.155
0.3,0.3,0.271,0.160822883943797,0.3,0.15,0.213
0.3,0.3,0.3,0.17751901306620652,0.262,0.15,0.213
